Company,BELONGS_TO_INDUSTRY_OF,Industry
0001090872,BELONGS_TO_INDUSTRY_OF,3826
0001675149,BELONGS_TO_INDUSTRY_OF,3334
0000006201,BELONGS_TO_INDUSTRY_OF,4512
0000824142,BELONGS_TO_INDUSTRY_OF,3585
0001158449,BELONGS_TO_INDUSTRY_OF,5531
0000320193,BELONGS_TO_INDUSTRY_OF,3571
0001500217,BELONGS_TO_INDUSTRY_OF,6798
0001551152,BELONGS_TO_INDUSTRY_OF,2834
0001140859,BELONGS_TO_INDUSTRY_OF,5122
0000351569,BELONGS_TO_INDUSTRY_OF,6022
0001144980,BELONGS_TO_INDUSTRY_OF,5500
0000771497,BELONGS_TO_INDUSTRY_OF,7340
0000815094,BELONGS_TO_INDUSTRY_OF,3841
0001253986,BELONGS_TO_INDUSTRY_OF,6798
0000001800,BELONGS_TO_INDUSTRY_OF,2834
0001739445,BELONGS_TO_INDUSTRY_OF,3440
0001070494,BELONGS_TO_INDUSTRY_OF,2834
0000947484,BELONGS_TO_INDUSTRY_OF,6331
0001520697,BELONGS_TO_INDUSTRY_OF,8093
0001646972,BELONGS_TO_INDUSTRY_OF,5411
0000935036,BELONGS_TO_INDUSTRY_OF,7372
0001113232,BELONGS_TO_INDUSTRY_OF,3559
0000868857,BELONGS_TO_INDUSTRY_OF,8711
0001467373,BELONGS_TO_INDUSTRY_OF,7389
0001823529,BELONGS_TO_INDUSTRY_OF,6411
0000796343,BELONGS_TO_INDUSTRY_OF,7372
0000917251,BELONGS_TO_INDUSTRY_OF,6798
0001803696,BELONGS_TO_INDUSTRY_OF,4841
0000006281,BELONGS_TO_INDUSTRY_OF,3674
0000007084,BELONGS_TO_INDUSTRY_OF,2070
0001368514,BELONGS_TO_INDUSTRY_OF,2836
0001670541,BELONGS_TO_INDUSTRY_OF,3714
0000008670,BELONGS_TO_INDUSTRY_OF,7374
0000769397,BELONGS_TO_INDUSTRY_OF,7372
0001468328,BELONGS_TO_INDUSTRY_OF,8082
0001002910,BELONGS_TO_INDUSTRY_OF,4931
0000927003,BELONGS_TO_INDUSTRY_OF,3679
0000919012,BELONGS_TO_INDUSTRY_OF,5651
0000004904,BELONGS_TO_INDUSTRY_OF,4911
0000874761,BELONGS_TO_INDUSTRY_OF,4991
0001984060,BELONGS_TO_INDUSTRY_OF,1311
0001042046,BELONGS_TO_INDUSTRY_OF,6331
0000004977,BELONGS_TO_INDUSTRY_OF,6321
0000880266,BELONGS_TO_INDUSTRY_OF,3523
0001273813,BELONGS_TO_INDUSTRY_OF,6351
0000078749,BELONGS_TO_INDUSTRY_OF,7373
0001725255,BELONGS_TO_INDUSTRY_OF,8082
0001569187,BELONGS_TO_INDUSTRY_OF,6500
0000005272,BELONGS_TO_INDUSTRY_OF,6331
0000819793,BELONGS_TO_INDUSTRY_OF,2221
0000001750,BELONGS_TO_INDUSTRY_OF,3720
0000109563,BELONGS_TO_INDUSTRY_OF,5080
0001267238,BELONGS_TO_INDUSTRY_OF,6399
0000354190,BELONGS_TO_INDUSTRY_OF,6411
0001086222,BELONGS_TO_INDUSTRY_OF,7389
0000899629,BELONGS_TO_INDUSTRY_OF,6798
0001487712,BELONGS_TO_INDUSTRY_OF,7359
0000915913,BELONGS_TO_INDUSTRY_OF,2821
0000066756,BELONGS_TO_INDUSTRY_OF,4931
0001545654,BELONGS_TO_INDUSTRY_OF,6798
0000897077,BELONGS_TO_INDUSTRY_OF,3523
0000866291,BELONGS_TO_INDUSTRY_OF,3674
0001097149,BELONGS_TO_INDUSTRY_OF,3842
0001362468,BELONGS_TO_INDUSTRY_OF,4512
0000766421,BELONGS_TO_INDUSTRY_OF,4512
0001520262,BELONGS_TO_INDUSTRY_OF,2834
0000899051,BELONGS_TO_INDUSTRY_OF,6331
0001579241,BELONGS_TO_INDUSTRY_OF,7381
0000040729,BELONGS_TO_INDUSTRY_OF,6022
0001459200,BELONGS_TO_INDUSTRY_OF,7372
0001034670,BELONGS_TO_INDUSTRY_OF,3714
0001623925,BELONGS_TO_INDUSTRY_OF,4922
0000006951,BELONGS_TO_INDUSTRY_OF,3674
0001748790,BELONGS_TO_INDUSTRY_OF,3990
0000002488,BELONGS_TO_INDUSTRY_OF,3674
0001037868,BELONGS_TO_INDUSTRY_OF,3823
0000896262,BELONGS_TO_INDUSTRY_OF,8082
0001004434,BELONGS_TO_INDUSTRY_OF,6282
0000318154,BELONGS_TO_INDUSTRY_OF,2836
0001562401,BELONGS_TO_INDUSTRY_OF,6798
0001047127,BELONGS_TO_INDUSTRY_OF,3674
0001142750,BELONGS_TO_INDUSTRY_OF,7363
0000820027,BELONGS_TO_INDUSTRY_OF,6282
0001297184,BELONGS_TO_INDUSTRY_OF,2834
0001704715,BELONGS_TO_INDUSTRY_OF,1221
0001018979,BELONGS_TO_INDUSTRY_OF,6331
0001053507,BELONGS_TO_INDUSTRY_OF,6798
0002011286,BELONGS_TO_INDUSTRY_OF,7389
0000794619,BELONGS_TO_INDUSTRY_OF,2430
0001018724,BELONGS_TO_INDUSTRY_OF,5961
0000350698,BELONGS_TO_INDUSTRY_OF,5500
0000821026,BELONGS_TO_INDUSTRY_OF,5150
0001596532,BELONGS_TO_INDUSTRY_OF,3576
0001018840,BELONGS_TO_INDUSTRY_OF,5651
0001705110,BELONGS_TO_INDUSTRY_OF,7310
0001023024,BELONGS_TO_INDUSTRY_OF,2834
0001013462,BELONGS_TO_INDUSTRY_OF,7372
0000315293,BELONGS_TO_INDUSTRY_OF,6411
0000784199,BELONGS_TO_INDUSTRY_OF,3841
0000091142,BELONGS_TO_INDUSTRY_OF,3630
0001387467,BELONGS_TO_INDUSTRY_OF,3674
0001841666,BELONGS_TO_INDUSTRY_OF,1311
0001517302,BELONGS_TO_INDUSTRY_OF,6282
0000002969,BELONGS_TO_INDUSTRY_OF,2810
0001796209,BELONGS_TO_INDUSTRY_OF,7340
0000820313,BELONGS_TO_INDUSTRY_OF,3678
0001418121,BELONGS_TO_INDUSTRY_OF,6798
0000006845,BELONGS_TO_INDUSTRY_OF,3231
0001433195,BELONGS_TO_INDUSTRY_OF,7372
0001521332,BELONGS_TO_INDUSTRY_OF,3714
0001433270,BELONGS_TO_INDUSTRY_OF,1311
0000894405,BELONGS_TO_INDUSTRY_OF,4213
0001035443,BELONGS_TO_INDUSTRY_OF,6798
0001467760,BELONGS_TO_INDUSTRY_OF,6798
0001736946,BELONGS_TO_INDUSTRY_OF,3651
0001584509,BELONGS_TO_INDUSTRY_OF,5812
0001389050,BELONGS_TO_INDUSTRY_OF,4922
0001428205,BELONGS_TO_INDUSTRY_OF,6798
0000007536,BELONGS_TO_INDUSTRY_OF,5065
0000879407,BELONGS_TO_INDUSTRY_OF,2834
0000007789,BELONGS_TO_INDUSTRY_OF,6022
0000890564,BELONGS_TO_INDUSTRY_OF,7363
0001674862,BELONGS_TO_INDUSTRY_OF,5160
0001673985,BELONGS_TO_INDUSTRY_OF,2821
0001817358,BELONGS_TO_INDUSTRY_OF,5940
0000792987,BELONGS_TO_INDUSTRY_OF,3531
0001083446,BELONGS_TO_INDUSTRY_OF,8742
0001580808,BELONGS_TO_INDUSTRY_OF,3576
0000730464,BELONGS_TO_INDUSTRY_OF,8200
0001018963,BELONGS_TO_INDUSTRY_OF,3317
0000731802,BELONGS_TO_INDUSTRY_OF,4924
0000896622,BELONGS_TO_INDUSTRY_OF,3089
0000718877,BELONGS_TO_INDUSTRY_OF,7372
0000883948,BELONGS_TO_INDUSTRY_OF,6022
0000104918,BELONGS_TO_INDUSTRY_OF,4931
0001368622,BELONGS_TO_INDUSTRY_OF,3721
0000915912,BELONGS_TO_INDUSTRY_OF,6798
0001730168,BELONGS_TO_INDUSTRY_OF,3674
0001606498,BELONGS_TO_INDUSTRY_OF,3842
0001122976,BELONGS_TO_INDUSTRY_OF,2821
0000008858,BELONGS_TO_INDUSTRY_OF,5065
0001722482,BELONGS_TO_INDUSTRY_OF,3826
0000008818,BELONGS_TO_INDUSTRY_OF,2670
0000007431,BELONGS_TO_INDUSTRY_OF,3089
0001410636,BELONGS_TO_INDUSTRY_OF,4941
0001056903,BELONGS_TO_INDUSTRY_OF,4941
0001299709,BELONGS_TO_INDUSTRY_OF,6035
0001062231,BELONGS_TO_INDUSTRY_OF,3714
0000004962,BELONGS_TO_INDUSTRY_OF,6199
0001616862,BELONGS_TO_INDUSTRY_OF,2851
0001144215,BELONGS_TO_INDUSTRY_OF,3640
0000866787,BELONGS_TO_INDUSTRY_OF,5531
0000933974,BELONGS_TO_INDUSTRY_OF,3559
0000008947,BELONGS_TO_INDUSTRY_OF,3470
0000012927,BELONGS_TO_INDUSTRY_OF,3721
0000070858,BELONGS_TO_INDUSTRY_OF,6021
0001169770,BELONGS_TO_INDUSTRY_OF,6021
0000760498,BELONGS_TO_INDUSTRY_OF,6021
0000946673,BELONGS_TO_INDUSTRY_OF,6022
0000010456,BELONGS_TO_INDUSTRY_OF,3841
0000701985,BELONGS_TO_INDUSTRY_OF,5990
0000764478,BELONGS_TO_INDUSTRY_OF,5731
0000014930,BELONGS_TO_INDUSTRY_OF,3510
0001328581,BELONGS_TO_INDUSTRY_OF,5030
0000078890,BELONGS_TO_INDUSTRY_OF,4731
0000009326,BELONGS_TO_INDUSTRY_OF,2800
0000913142,BELONGS_TO_INDUSTRY_OF,3357
0000790816,BELONGS_TO_INDUSTRY_OF,6798
0000010795,BELONGS_TO_INDUSTRY_OF,3841
0000038777,BELONGS_TO_INDUSTRY_OF,6282
0000014693,BELONGS_TO_INDUSTRY_OF,2080
0001101215,BELONGS_TO_INDUSTRY_OF,6141
0000907254,BELONGS_TO_INDUSTRY_OF,6798
0001094831,BELONGS_TO_INDUSTRY_OF,6200
0001278027,BELONGS_TO_INDUSTRY_OF,2000
0000863436,BELONGS_TO_INDUSTRY_OF,3672
0001685040,BELONGS_TO_INDUSTRY_OF,6311
0001108134,BELONGS_TO_INDUSTRY_OF,6036
0000875045,BELONGS_TO_INDUSTRY_OF,2836
0001786352,BELONGS_TO_INDUSTRY_OF,7372
0000012208,BELONGS_TO_INDUSTRY_OF,3826
0001531152,BELONGS_TO_INDUSTRY_OF,5331
0001013488,BELONGS_TO_INDUSTRY_OF,5812
0001390777,BELONGS_TO_INDUSTRY_OF,6022
0000885245,BELONGS_TO_INDUSTRY_OF,5651
0001130464,BELONGS_TO_INDUSTRY_OF,4911
0001075531,BELONGS_TO_INDUSTRY_OF,4700
0001701605,BELONGS_TO_INDUSTRY_OF,3533
0001504008,BELONGS_TO_INDUSTRY_OF,6035
0001666134,BELONGS_TO_INDUSTRY_OF,7372
0001633931,BELONGS_TO_INDUSTRY_OF,1700
0000834365,BELONGS_TO_INDUSTRY_OF,3845
0002012383,BELONGS_TO_INDUSTRY_OF,6211
0001280058,BELONGS_TO_INDUSTRY_OF,7372
0001546417,BELONGS_TO_INDUSTRY_OF,5812
0000009092,BELONGS_TO_INDUSTRY_OF,3824
0001048477,BELONGS_TO_INDUSTRY_OF,2834
0000014272,BELONGS_TO_INDUSTRY_OF,2834
0000046195,BELONGS_TO_INDUSTRY_OF,6022
0001610250,BELONGS_TO_INDUSTRY_OF,5661
0001372612,BELONGS_TO_INDUSTRY_OF,7372
0001383312,BELONGS_TO_INDUSTRY_OF,7389
0001772016,BELONGS_TO_INDUSTRY_OF,2000
0000746598,BELONGS_TO_INDUSTRY_OF,3990
0001067983,BELONGS_TO_INDUSTRY_OF,6331
0001049782,BELONGS_TO_INDUSTRY_OF,6035
0001109354,BELONGS_TO_INDUSTRY_OF,3826
0000079282,BELONGS_TO_INDUSTRY_OF,6411
0001581068,BELONGS_TO_INDUSTRY_OF,6798
0001748824,BELONGS_TO_INDUSTRY_OF,6282
0000885725,BELONGS_TO_INDUSTRY_OF,3841
0001064728,BELONGS_TO_INDUSTRY_OF,1221
0001579298,BELONGS_TO_INDUSTRY_OF,5311
0000908255,BELONGS_TO_INDUSTRY_OF,3714
0001486957,BELONGS_TO_INDUSTRY_OF,3510
0001061630,BELONGS_TO_INDUSTRY_OF,6798
0001037540,BELONGS_TO_INDUSTRY_OF,6798
0000906553,BELONGS_TO_INDUSTRY_OF,7011
0000831001,BELONGS_TO_INDUSTRY_OF,6021
0001632127,BELONGS_TO_INDUSTRY_OF,4841
0000016058,BELONGS_TO_INDUSTRY_OF,7373
0000023217,BELONGS_TO_INDUSTRY_OF,2000
0000721371,BELONGS_TO_INDUSTRY_OF,5122
0000887596,BELONGS_TO_INDUSTRY_OF,5812
0000014707,BELONGS_TO_INDUSTRY_OF,3140
0000016160,BELONGS_TO_INDUSTRY_OF,0200
0001406666,BELONGS_TO_INDUSTRY_OF,4899
0000723612,BELONGS_TO_INDUSTRY_OF,7510
0001494259,BELONGS_TO_INDUSTRY_OF,7374
0001783180,BELONGS_TO_INDUSTRY_OF,3585
0001683606,BELONGS_TO_INDUSTRY_OF,7374
0001579091,BELONGS_TO_INDUSTRY_OF,7389
0000907471,BELONGS_TO_INDUSTRY_OF,6021
0000726958,BELONGS_TO_INDUSTRY_OF,5500
0000018230,BELONGS_TO_INDUSTRY_OF,3531
0000861842,BELONGS_TO_INDUSTRY_OF,6022
0001639438,BELONGS_TO_INDUSTRY_OF,5812
0000896159,BELONGS_TO_INDUSTRY_OF,6331
0001374310,BELONGS_TO_INDUSTRY_OF,6200
0001138118,BELONGS_TO_INDUSTRY_OF,6500
0001067294,BELONGS_TO_INDUSTRY_OF,5812
0000022356,BELONGS_TO_INDUSTRY_OF,6022
0000016040,BELONGS_TO_INDUSTRY_OF,2890
0000723188,BELONGS_TO_INDUSTRY_OF,6021
0001627223,BELONGS_TO_INDUSTRY_OF,2800
0001051470,BELONGS_TO_INDUSTRY_OF,6798
0001219601,BELONGS_TO_INDUSTRY_OF,3411
0000815097,BELONGS_TO_INDUSTRY_OF,4400
0001158324,BELONGS_TO_INDUSTRY_OF,4899
0001576940,BELONGS_TO_INDUSTRY_OF,1531
0001725057,BELONGS_TO_INDUSTRY_OF,7372
0000813672,BELONGS_TO_INDUSTRY_OF,7372
0000860546,BELONGS_TO_INDUSTRY_OF,6798
0001402057,BELONGS_TO_INDUSTRY_OF,5961
0001306830,BELONGS_TO_INDUSTRY_OF,2820
0001341766,BELONGS_TO_INDUSTRY_OF,2086
0000887733,BELONGS_TO_INDUSTRY_OF,5190
0000949157,BELONGS_TO_INDUSTRY_OF,3334
0001827090,BELONGS_TO_INDUSTRY_OF,7372
0001173489,BELONGS_TO_INDUSTRY_OF,7370
0001324404,BELONGS_TO_INDUSTRY_OF,2870
0001490906,BELONGS_TO_INDUSTRY_OF,6035
0000759944,BELONGS_TO_INDUSTRY_OF,6022
0000039263,BELONGS_TO_INDUSTRY_OF,6021
0001527166,BELONGS_TO_INDUSTRY_OF,6282
0000851205,BELONGS_TO_INDUSTRY_OF,3823
0000726854,BELONGS_TO_INDUSTRY_OF,6021
0000313927,BELONGS_TO_INDUSTRY_OF,2840
0000020212,BELONGS_TO_INDUSTRY_OF,7948
0000019584,BELONGS_TO_INDUSTRY_OF,8082
0001517175,BELONGS_TO_INDUSTRY_OF,5141
0001046311,BELONGS_TO_INDUSTRY_OF,7011
0001486159,BELONGS_TO_INDUSTRY_OF,1311
0001043277,BELONGS_TO_INDUSTRY_OF,4731
0001091667,BELONGS_TO_INDUSTRY_OF,4841
0001766502,BELONGS_TO_INDUSTRY_OF,5961
0001739940,BELONGS_TO_INDUSTRY_OF,6324
0000936395,BELONGS_TO_INDUSTRY_OF,3661
0000020286,BELONGS_TO_INDUSTRY_OF,6331
0001509589,BELONGS_TO_INDUSTRY_OF,1311
0000021665,BELONGS_TO_INDUSTRY_OF,2844
0001958086,BELONGS_TO_INDUSTRY_OF,1389
0000764065,BELONGS_TO_INDUSTRY_OF,1000
0000822818,BELONGS_TO_INDUSTRY_OF,4955
0000827876,BELONGS_TO_INDUSTRY_OF,6199
0000021076,BELONGS_TO_INDUSTRY_OF,2842
