Company,IS_PARTIAL_OWNER_OF,Company
0001090872,IS_PARTIAL_OWNER_OF,0001601046
0001090872,IS_PARTIAL_OWNER_OF,0001352341
0000006201,IS_PARTIAL_OWNER_OF,0000810332
0000006201,IS_PARTIAL_OWNER_OF,0001173495
0001551152,IS_PARTIAL_OWNER_OF,0001358762
0001140859,IS_PARTIAL_OWNER_OF,0001388195
0001144980,IS_PARTIAL_OWNER_OF,0001144980
0000815094,IS_PARTIAL_OWNER_OF,0001024520
0000815094,IS_PARTIAL_OWNER_OF,0000815094
0000001800,IS_PARTIAL_OWNER_OF,0001603978
0000001800,IS_PARTIAL_OWNER_OF,0001623613
0000001800,IS_PARTIAL_OWNER_OF,0001551152
0000001800,IS_PARTIAL_OWNER_OF,0001298521
0000001800,IS_PARTIAL_OWNER_OF,0001441848
0000001800,IS_PARTIAL_OWNER_OF,0001168335
0000001800,IS_PARTIAL_OWNER_OF,0000902622
0000001800,IS_PARTIAL_OWNER_OF,0001274057
0000947484,IS_PARTIAL_OWNER_OF,0001275214
0000947484,IS_PARTIAL_OWNER_OF,0001601669
0000935036,IS_PARTIAL_OWNER_OF,0000888953
0000868857,IS_PARTIAL_OWNER_OF,0001887944
0001467373,IS_PARTIAL_OWNER_OF,0001160951
0000796343,IS_PARTIAL_OWNER_OF,0001449278
0000796343,IS_PARTIAL_OWNER_OF,0001084332
0000796343,IS_PARTIAL_OWNER_OF,0001357525
0001803696,IS_PARTIAL_OWNER_OF,0001788999
0000007084,IS_PARTIAL_OWNER_OF,0000806592
0000007084,IS_PARTIAL_OWNER_OF,0000075208
0000008670,IS_PARTIAL_OWNER_OF,0001609702
0000769397,IS_PARTIAL_OWNER_OF,0001103234
0000874761,IS_PARTIAL_OWNER_OF,0001868941
0001042046,IS_PARTIAL_OWNER_OF,0001539894
0001042046,IS_PARTIAL_OWNER_OF,0001611110
0001042046,IS_PARTIAL_OWNER_OF,0001454389
0001042046,IS_PARTIAL_OWNER_OF,0001128725
0001042046,IS_PARTIAL_OWNER_OF,0001301106
0001042046,IS_PARTIAL_OWNER_OF,0000316770
0001042046,IS_PARTIAL_OWNER_OF,0001195933
0001042046,IS_PARTIAL_OWNER_OF,0000894651
0001042046,IS_PARTIAL_OWNER_OF,0000062737
0001273813,IS_PARTIAL_OWNER_OF,0001930147
0000005272,IS_PARTIAL_OWNER_OF,0001735964
0000005272,IS_PARTIAL_OWNER_OF,0001517518
0000005272,IS_PARTIAL_OWNER_OF,0001725472
0000005272,IS_PARTIAL_OWNER_OF,0001572616
0000005272,IS_PARTIAL_OWNER_OF,0001889539
0000005272,IS_PARTIAL_OWNER_OF,0001604477
0000005272,IS_PARTIAL_OWNER_OF,0000098222
0000005272,IS_PARTIAL_OWNER_OF,0000806628
0000005272,IS_PARTIAL_OWNER_OF,0001293613
0000005272,IS_PARTIAL_OWNER_OF,0001500096
0000005272,IS_PARTIAL_OWNER_OF,0001570318
0000005272,IS_PARTIAL_OWNER_OF,0001488775
0000005272,IS_PARTIAL_OWNER_OF,0001584207
0000005272,IS_PARTIAL_OWNER_OF,0001393818
0000005272,IS_PARTIAL_OWNER_OF,0000862510
0000005272,IS_PARTIAL_OWNER_OF,0001268533
0000005272,IS_PARTIAL_OWNER_OF,0001383529
0000005272,IS_PARTIAL_OWNER_OF,0001006837
0000005272,IS_PARTIAL_OWNER_OF,0000909815
0000005272,IS_PARTIAL_OWNER_OF,0001108727
0000005272,IS_PARTIAL_OWNER_OF,0001129981
