News,MENTIONS,Event
6,MENTIONS,2009_0
9,MENTIONS,2021_37
9,MENTIONS,2022_5
21,MENTIONS,2020_5
29,MENTIONS,2009_4
32,MENTIONS,2001_8
36,MENTIONS,2006_5
36,MENTIONS,2015_3
36,MENTIONS,2020_8
39,MENTIONS,2013_8
41,MENTIONS,2005_15
44,MENTIONS,2014_0
49,MENTIONS,2006_4
49,MENTIONS,2008_3
50,MENTIONS,2014_0
52,MENTIONS,2014_0
53,MENTIONS,2003_2
53,MENTIONS,2006_3
55,MENTIONS,2014_3
58,MENTIONS,2006_5
63,MENTIONS,2014_0
65,MENTIONS,2014_0
67,MENTIONS,2013_13
68,MENTIONS,2013_13
73,MENTIONS,2006_3
77,MENTIONS,2014_0
78,MENTIONS,2014_1
79,MENTIONS,2014_0
80,MENTIONS,2014_0
81,MENTIONS,2014_0
83,MENTIONS,2014_0
85,MENTIONS,2006_4
90,MENTIONS,2003_2
90,MENTIONS,2006_3
95,MENTIONS,2013_13
96,MENTIONS,2005_15
99,MENTIONS,2014_0
100,MENTIONS,2013_8
101,MENTIONS,2004_0
102,MENTIONS,2008_3
104,MENTIONS,2003_2
104,MENTIONS,2006_3
105,MENTIONS,2014_0
112,MENTIONS,2001_6
112,MENTIONS,2003_2
112,MENTIONS,2006_4
112,MENTIONS,2008_3
115,MENTIONS,2014_0
118,MENTIONS,2014_0
119,MENTIONS,2014_0
124,MENTIONS,2013_13
125,MENTIONS,2006_4
125,MENTIONS,2013_13
129,MENTIONS,2014_0
132,MENTIONS,2003_2
133,MENTIONS,2006_3
134,MENTIONS,2014_1
135,MENTIONS,2014_0
136,MENTIONS,2013_12
138,MENTIONS,2014_0
139,MENTIONS,2003_2
139,MENTIONS,2006_3
142,MENTIONS,2013_13
145,MENTIONS,2014_0
146,MENTIONS,2014_0
147,MENTIONS,2006_3
147,MENTIONS,2014_0
149,MENTIONS,2014_0
153,MENTIONS,2014_0
174,MENTIONS,2018_4
186,MENTIONS,2022_39
189,MENTIONS,2009_4
190,MENTIONS,2009_4
191,MENTIONS,2009_4
201,MENTIONS,2016_7
204,MENTIONS,2016_7
204,MENTIONS,2020_4
215,MENTIONS,2013_10
217,MENTIONS,2022_5
218,MENTIONS,2005_12
231,MENTIONS,2022_5
232,MENTIONS,2002_3
232,MENTIONS,2006_4
232,MENTIONS,2022_9
260,MENTIONS,2022_39
270,MENTIONS,2022_39
271,MENTIONS,2022_39
272,MENTIONS,2022_39
273,MENTIONS,2022_39
275,MENTIONS,2022_39
278,MENTIONS,2022_39
279,MENTIONS,2022_39
282,MENTIONS,2022_11
283,MENTIONS,2022_39
293,MENTIONS,2016_7
294,MENTIONS,2022_39
301,MENTIONS,2009_0
302,MENTIONS,2009_0
303,MENTIONS,2022_9
324,MENTIONS,2022_39
326,MENTIONS,2022_39
329,MENTIONS,2022_39
334,MENTIONS,2022_39
349,MENTIONS,2022_5
362,MENTIONS,2013_10
371,MENTIONS,2009_0
373,MENTIONS,2009_0
376,MENTIONS,2022_39
386,MENTIONS,2009_0
387,MENTIONS,2013_10
390,MENTIONS,2013_10
406,MENTIONS,2020_8
410,MENTIONS,2002_3
414,MENTIONS,2022_37
420,MENTIONS,2022_39
425,MENTIONS,2005_1
426,MENTIONS,2002_3
429,MENTIONS,2022_39
433,MENTIONS,2015_6
433,MENTIONS,2022_5
434,MENTIONS,2022_39
440,MENTIONS,2022_39
444,MENTIONS,2022_39
453,MENTIONS,2022_39
457,MENTIONS,2022_39
459,MENTIONS,2022_39
469,MENTIONS,2022_39
505,MENTIONS,2017_0
530,MENTIONS,2022_5
544,MENTIONS,2004_5
549,MENTIONS,2009_0
565,MENTIONS,2002_3
576,MENTIONS,2004_0
606,MENTIONS,2016_11
615,MENTIONS,2022_5
656,MENTIONS,2016_7
674,MENTIONS,2016_11
677,MENTIONS,2002_12
678,MENTIONS,2008_3
678,MENTIONS,2016_11
681,MENTIONS,2012_5
681,MENTIONS,2016_11
681,MENTIONS,2017_0
735,MENTIONS,2008_3
754,MENTIONS,2023_15
770,MENTIONS,2016_11
784,MENTIONS,2012_5
786,MENTIONS,2009_0
818,MENTIONS,2022_5
820,MENTIONS,2005_1
838,MENTIONS,2002_3
844,MENTIONS,2008_3
844,MENTIONS,2016_11
849,MENTIONS,2016_1
866,MENTIONS,2022_39
867,MENTIONS,2016_1
869,MENTIONS,2022_39
870,MENTIONS,2022_39
872,MENTIONS,2022_39
879,MENTIONS,2022_39
880,MENTIONS,2002_3
881,MENTIONS,2022_39
889,MENTIONS,2016_7
895,MENTIONS,2023_28
896,MENTIONS,2006_5
906,MENTIONS,2023_23
921,MENTIONS,2022_39
935,MENTIONS,2007_2
959,MENTIONS,2014_0
959,MENTIONS,2022_5
960,MENTIONS,2021_24
974,MENTIONS,2022_5
980,MENTIONS,2001_6
990,MENTIONS,2002_4
990,MENTIONS,2013_2
991,MENTIONS,2014_0
1010,MENTIONS,2012_0
1018,MENTIONS,2001_12
1020,MENTIONS,2016_11
1022,MENTIONS,2022_39
1024,MENTIONS,2022_39
1033,MENTIONS,2022_39
1129,MENTIONS,2013_13
1129,MENTIONS,2022_5
1131,MENTIONS,2022_39
1143,MENTIONS,2022_39
1156,MENTIONS,2020_36
1183,MENTIONS,2009_0
1189,MENTIONS,2002_3
1190,MENTIONS,2002_3
1194,MENTIONS,2022_39
1196,MENTIONS,2022_39
1198,MENTIONS,2006_8
1218,MENTIONS,2022_39
1226,MENTIONS,2022_39
1237,MENTIONS,2009_0
1266,MENTIONS,2006_8
1276,MENTIONS,2006_8
1288,MENTIONS,2023_8
1311,MENTIONS,2022_5
1318,MENTIONS,2014_0
1318,MENTIONS,2022_5
1339,MENTIONS,2022_39
1360,MENTIONS,2022_39
1364,MENTIONS,2022_39
1366,MENTIONS,2022_39
1376,MENTIONS,2009_0
1380,MENTIONS,2009_0
1383,MENTIONS,2014_0
1383,MENTIONS,2022_5
1384,MENTIONS,2014_0
1384,MENTIONS,2022_5
1390,MENTIONS,2022_39
1398,MENTIONS,2020_36
1399,MENTIONS,2006_8
1420,MENTIONS,2015_7
1427,MENTIONS,2022_5
1434,MENTIONS,2022_39
1438,MENTIONS,2021_1
1485,MENTIONS,2007_2
1495,MENTIONS,2016_11
1551,MENTIONS,2004_0
1561,MENTIONS,2001_8
1561,MENTIONS,2006_4
1574,MENTIONS,2020_29
1583,MENTIONS,2022_5
1609,MENTIONS,2022_39
1642,MENTIONS,2022_39
1644,MENTIONS,2022_39
1651,MENTIONS,2022_39
1655,MENTIONS,2022_39
1658,MENTIONS,2022_39
1659,MENTIONS,2022_39
1664,MENTIONS,2022_39
1668,MENTIONS,2022_39
1669,MENTIONS,2022_39
1671,MENTIONS,2022_39
1676,MENTIONS,2020_29
1677,MENTIONS,2022_39
1679,MENTIONS,2022_39
1687,MENTIONS,2022_39
1689,MENTIONS,2022_39
1691,MENTIONS,2022_39
1704,MENTIONS,2022_5
1705,MENTIONS,2014_0
1705,MENTIONS,2015_6
1705,MENTIONS,2021_37
1705,MENTIONS,2022_5
1711,MENTIONS,2023_23
1722,MENTIONS,2014_0
1722,MENTIONS,2022_5
1730,MENTIONS,2022_39
1733,MENTIONS,2016_7
1738,MENTIONS,2022_39
1739,MENTIONS,2022_39
1741,MENTIONS,2022_39
1744,MENTIONS,2022_39
1746,MENTIONS,2022_39
1780,MENTIONS,2016_11
1787,MENTIONS,2016_7
1790,MENTIONS,2016_7
1803,MENTIONS,2022_5
1806,MENTIONS,2016_7
1839,MENTIONS,2014_0
1875,MENTIONS,2002_3
1875,MENTIONS,2022_39
1878,MENTIONS,2017_0
1885,MENTIONS,2003_2
1885,MENTIONS,2006_3
1892,MENTIONS,2003_2
1912,MENTIONS,2005_12
1918,MENTIONS,2022_39
1924,MENTIONS,2016_7
1930,MENTIONS,2020_29
1935,MENTIONS,2002_12
1957,MENTIONS,2017_6
1968,MENTIONS,2004_0
1969,MENTIONS,2016_7
1987,MENTIONS,2006_4
1989,MENTIONS,2005_12
1994,MENTIONS,2004_0
2023,MENTIONS,2022_39
2032,MENTIONS,2016_1
2060,MENTIONS,2016_11
2062,MENTIONS,2008_3
2069,MENTIONS,2016_7
2078,MENTIONS,2009_0
2085,MENTIONS,2009_0
2113,MENTIONS,2014_0
2113,MENTIONS,2022_5
2115,MENTIONS,2012_5
2139,MENTIONS,2016_7
2241,MENTIONS,2015_7
2243,MENTIONS,2022_5
2256,MENTIONS,2006_4
2264,MENTIONS,2020_29
2279,MENTIONS,2021_28
2281,MENTIONS,2016_11
2321,MENTIONS,2016_7
2328,MENTIONS,2004_0
2328,MENTIONS,2009_0
2334,MENTIONS,2009_0
2336,MENTIONS,2020_29
2338,MENTIONS,2021_39
2354,MENTIONS,2022_35
2355,MENTIONS,2009_0
2359,MENTIONS,2022_5
2363,MENTIONS,2016_3
2382,MENTIONS,2013_8
2385,MENTIONS,2022_5
2389,MENTIONS,2008_3
2389,MENTIONS,2013_8
2390,MENTIONS,2016_11
2390,MENTIONS,2017_0
2391,MENTIONS,2001_7
2391,MENTIONS,2016_11
2393,MENTIONS,2021_5
2395,MENTIONS,2021_37
2396,MENTIONS,2010_7
2397,MENTIONS,2013_8
2398,MENTIONS,2016_6
2400,MENTIONS,2010_7
2404,MENTIONS,2014_0
2404,MENTIONS,2022_5
2406,MENTIONS,2022_5
2408,MENTIONS,2022_5
2410,MENTIONS,2014_0
2410,MENTIONS,2022_5
2459,MENTIONS,2016_7
2483,MENTIONS,2022_5
2488,MENTIONS,2022_5
2493,MENTIONS,2008_3
2493,MENTIONS,2016_11
2493,MENTIONS,2020_29
2495,MENTIONS,2016_7
2505,MENTIONS,2017_8
2539,MENTIONS,2022_5
2541,MENTIONS,2023_23
2559,MENTIONS,2022_39
2562,MENTIONS,2022_39
2605,MENTIONS,2020_29
2606,MENTIONS,2023_27
2621,MENTIONS,2005_12
2629,MENTIONS,2023_23
2630,MENTIONS,2005_12
2641,MENTIONS,2022_5
2656,MENTIONS,2022_10
2659,MENTIONS,2016_11
2659,MENTIONS,2017_0
2665,MENTIONS,2016_1
2665,MENTIONS,2022_39
2677,MENTIONS,2002_3
2677,MENTIONS,2022_9
2677,MENTIONS,2022_39
2685,MENTIONS,2022_5
2686,MENTIONS,2022_5
2729,MENTIONS,2016_1
2743,MENTIONS,2009_0
2743,MENTIONS,2022_39
2747,MENTIONS,2023_27
2760,MENTIONS,2022_5
2771,MENTIONS,2002_12
2778,MENTIONS,2008_3
2781,MENTIONS,2020_29
2790,MENTIONS,2002_12
2817,MENTIONS,2006_8
2822,MENTIONS,2022_39
2836,MENTIONS,2006_5
2844,MENTIONS,2022_39
2874,MENTIONS,2020_29
2899,MENTIONS,2022_39
2937,MENTIONS,2001_6
2967,MENTIONS,2020_29
2974,MENTIONS,2016_11
2988,MENTIONS,2022_5
3000,MENTIONS,2022_39
3004,MENTIONS,2002_3
3004,MENTIONS,2006_8
3017,MENTIONS,2022_39
3022,MENTIONS,2022_39
3032,MENTIONS,2016_2
3040,MENTIONS,2008_3
3040,MENTIONS,2020_29
3046,MENTIONS,2002_3
3061,MENTIONS,2006_5
3070,MENTIONS,2006_5
3071,MENTIONS,2002_3
3101,MENTIONS,2021_33
3116,MENTIONS,2022_39
3138,MENTIONS,2016_7
3147,MENTIONS,2022_39
3157,MENTIONS,2022_39
3161,MENTIONS,2017_0
3190,MENTIONS,2001_6
3190,MENTIONS,2016_11
3202,MENTIONS,2022_39
3224,MENTIONS,2016_11
3227,MENTIONS,2016_11
3266,MENTIONS,2023_23
3280,MENTIONS,2006_10
3294,MENTIONS,2014_0
3294,MENTIONS,2022_5
3306,MENTIONS,2014_0
3306,MENTIONS,2022_5
3317,MENTIONS,2022_39
3318,MENTIONS,2022_5
3335,MENTIONS,2016_1
3350,MENTIONS,2009_0
3365,MENTIONS,2022_39
3370,MENTIONS,2007_2
3372,MENTIONS,2002_3
3372,MENTIONS,2020_15
3372,MENTIONS,2021_8
