Company,HAS_EXCHANGE_MARKET,Exchange
0001090872,HAS_EXCHANGE_MARKET,NYSE
0001675149,HAS_EXCHANGE_MARKET,NYSE
0000006201,HAS_EXCHANGE_MARKET,Nasdaq
0000824142,HAS_EXCHANGE_MARKET,Nasdaq
0001158449,HAS_EXCHANGE_MARKET,NYSE
0000320193,HAS_EXCHANGE_MARKET,Nasdaq
0001500217,HAS_EXCHANGE_MARKET,NYSE
0001551152,HAS_EXCHANGE_MARKET,NYSE
0001140859,HAS_EXCHANGE_MARKET,NYSE
0000351569,HAS_EXCHANGE_MARKET,NYSE
0001144980,HAS_EXCHANGE_MARKET,NYSE
0000771497,HAS_EXCHANGE_MARKET,NYSE
0001253986,HAS_EXCHANGE_MARKET,NYSE
0000001800,HAS_EXCHANGE_MARKET,NYSE
0001739445,HAS_EXCHANGE_MARKET,NYSE
0001070494,HAS_EXCHANGE_MARKET,Nasdaq
0000947484,HAS_EXCHANGE_MARKET,Nasdaq
0001520697,HAS_EXCHANGE_MARKET,Nasdaq
0001646972,HAS_EXCHANGE_MARKET,NYSE
0000935036,HAS_EXCHANGE_MARKET,Nasdaq
0001113232,HAS_EXCHANGE_MARKET,Nasdaq
0000868857,HAS_EXCHANGE_MARKET,NYSE
0001467373,HAS_EXCHANGE_MARKET,NYSE
0001823529,HAS_EXCHANGE_MARKET,Nasdaq
0000796343,HAS_EXCHANGE_MARKET,Nasdaq
0000917251,HAS_EXCHANGE_MARKET,NYSE
0001803696,HAS_EXCHANGE_MARKET,Nasdaq
0000006281,HAS_EXCHANGE_MARKET,Nasdaq
0000007084,HAS_EXCHANGE_MARKET,NYSE
0001368514,HAS_EXCHANGE_MARKET,Nasdaq
0001670541,HAS_EXCHANGE_MARKET,NYSE
0000008670,HAS_EXCHANGE_MARKET,Nasdaq
0000769397,HAS_EXCHANGE_MARKET,Nasdaq
0001468328,HAS_EXCHANGE_MARKET,Nasdaq
0001002910,HAS_EXCHANGE_MARKET,NYSE
0000927003,HAS_EXCHANGE_MARKET,Nasdaq
0000919012,HAS_EXCHANGE_MARKET,NYSE
0000004904,HAS_EXCHANGE_MARKET,Nasdaq
0000874761,HAS_EXCHANGE_MARKET,NYSE
0001984060,HAS_EXCHANGE_MARKET,NYSE
0001042046,HAS_EXCHANGE_MARKET,NYSE
0000004977,HAS_EXCHANGE_MARKET,NYSE
0000880266,HAS_EXCHANGE_MARKET,NYSE
0001273813,HAS_EXCHANGE_MARKET,NYSE
0000078749,HAS_EXCHANGE_MARKET,Nasdaq
0001725255,HAS_EXCHANGE_MARKET,Nasdaq
0001569187,HAS_EXCHANGE_MARKET,NYSE
0000005272,HAS_EXCHANGE_MARKET,NYSE
0000819793,HAS_EXCHANGE_MARKET,NYSE
0000001750,HAS_EXCHANGE_MARKET,NYSE
0000109563,HAS_EXCHANGE_MARKET,NYSE
0001267238,HAS_EXCHANGE_MARKET,NYSE
0000354190,HAS_EXCHANGE_MARKET,NYSE
0001086222,HAS_EXCHANGE_MARKET,Nasdaq
0000899629,HAS_EXCHANGE_MARKET,NYSE
0001487712,HAS_EXCHANGE_MARKET,NYSE
0000915913,HAS_EXCHANGE_MARKET,NYSE
0000066756,HAS_EXCHANGE_MARKET,NYSE
0001545654,HAS_EXCHANGE_MARKET,NYSE
0000897077,HAS_EXCHANGE_MARKET,NYSE
0000866291,HAS_EXCHANGE_MARKET,Nasdaq
0001097149,HAS_EXCHANGE_MARKET,Nasdaq
0001362468,HAS_EXCHANGE_MARKET,Nasdaq
0000766421,HAS_EXCHANGE_MARKET,NYSE
0001520262,HAS_EXCHANGE_MARKET,Nasdaq
0000899051,HAS_EXCHANGE_MARKET,NYSE
0001579241,HAS_EXCHANGE_MARKET,NYSE
0000040729,HAS_EXCHANGE_MARKET,NYSE
0001459200,HAS_EXCHANGE_MARKET,Nasdaq
0001034670,HAS_EXCHANGE_MARKET,NYSE
0001623925,HAS_EXCHANGE_MARKET,NYSE
0000006951,HAS_EXCHANGE_MARKET,Nasdaq
0001748790,HAS_EXCHANGE_MARKET,NYSE
0000002488,HAS_EXCHANGE_MARKET,Nasdaq
0001037868,HAS_EXCHANGE_MARKET,NYSE
0000896262,HAS_EXCHANGE_MARKET,Nasdaq
0001004434,HAS_EXCHANGE_MARKET,NYSE
0000318154,HAS_EXCHANGE_MARKET,Nasdaq
0001562401,HAS_EXCHANGE_MARKET,NYSE
0001047127,HAS_EXCHANGE_MARKET,Nasdaq
0001142750,HAS_EXCHANGE_MARKET,NYSE
0000820027,HAS_EXCHANGE_MARKET,NYSE
0001297184,HAS_EXCHANGE_MARKET,Nasdaq
0001704715,HAS_EXCHANGE_MARKET,NYSE
0001018979,HAS_EXCHANGE_MARKET,Nasdaq
0001053507,HAS_EXCHANGE_MARKET,NYSE
0002011286,HAS_EXCHANGE_MARKET,NYSE
0000794619,HAS_EXCHANGE_MARKET,Nasdaq
0001018724,HAS_EXCHANGE_MARKET,Nasdaq
