Event,IMPACTS,Company
2020_5,IMPACTS,0001166691
2020_5,IMPACTS,0000732717
2020_8,IMPACTS,0001065088
2014_0,IMPACTS,0000049196
2014_0,IMPACTS,0001166691
2009_4,IMPACTS,0001744489
2009_0,IMPACTS,0000886982
2009_0,IMPACTS,0001633917
2009_0,IMPACTS,0000789019
2017_0,IMPACTS,0000033185
2016_7,IMPACTS,0001156375
2016_7,IMPACTS,0001393311
2017_0,IMPACTS,0000868857
2017_0,IMPACTS,0000310764
2016_11,IMPACTS,0000860730
2019_0,IMPACTS,0000935703
2019_0,IMPACTS,0000104169
2019_0,IMPACTS,0001633917
2020_29,IMPACTS,0001057706
2022_39,IMPACTS,0000320193
2022_39,IMPACTS,0000796343
2022_39,IMPACTS,0001018724
2020_29,IMPACTS,0000002488
2020_29,IMPACTS,0001133421
2022_39,IMPACTS,0001261333
2020_29,IMPACTS,0001633917
2020_29,IMPACTS,0000796343
2002_12,IMPACTS,0000909832
2006_5,IMPACTS,0001600033
2020_29,IMPACTS,0000909832
2020_29,IMPACTS,0001069878
2020_29,IMPACTS,0000916365
2016_11,IMPACTS,0000021344
2009_0,IMPACTS,0000002488
2009_0,IMPACTS,0001045810
2016_11,IMPACTS,0000831001
2016_11,IMPACTS,0000886982
2016_11,IMPACTS,0000895421
2009_0,IMPACTS,0000895421
2009_0,IMPACTS,0001156375
2009_0,IMPACTS,0000036104
2016_11,IMPACTS,0000070318
2003_0,IMPACTS,0000882095
2018_0,IMPACTS,0000793952
2020_29,IMPACTS,0001396009
2020_29,IMPACTS,0000104169
2009_0,IMPACTS,0001374310
2009_0,IMPACTS,0001403161
2018_0,IMPACTS,0000070318
2017_0,IMPACTS,0000073309
2017_0,IMPACTS,0001099800
2009_0,IMPACTS,0001390777
2009_0,IMPACTS,0001766502
2017_0,IMPACTS,0000034088
2014_0,IMPACTS,0000055785
2014_0,IMPACTS,0000066740
2009_0,IMPACTS,0001636222
2009_0,IMPACTS,0000816761
2016_11,IMPACTS,0001623925
2022_0,IMPACTS,0000813672
2022_0,IMPACTS,0000753308
2022_0,IMPACTS,0001318605
2022_0,IMPACTS,0000097476
2022_1,IMPACTS,0000813672
2022_1,IMPACTS,0000753308
2022_1,IMPACTS,0001318605
2022_1,IMPACTS,0000097476
2021_0,IMPACTS,0000813672
2021_0,IMPACTS,0000753308
2021_0,IMPACTS,0001318605
2021_0,IMPACTS,0000097476
2017_0,IMPACTS,0001047862
2016_11,IMPACTS,0000005272
2022_9,IMPACTS,0001144980
2022_9,IMPACTS,0000944695
2022_11,IMPACTS,0000834365
2020_19,IMPACTS,0001744489
2020_19,IMPACTS,0000829224
2020_19,IMPACTS,0001111335
2016_0,IMPACTS,0000310158
2016_0,IMPACTS,0001133421
2009_0,IMPACTS,0000033185
2009_0,IMPACTS,0000050863
2022_5,IMPACTS,0000093410
2020_29,IMPACTS,0000804328
2017_0,IMPACTS,0000766421
2020_29,IMPACTS,0000753308
2021_5,IMPACTS,0000074303
2021_5,IMPACTS,0000104169
2020_29,IMPACTS,0000072971
2022_9,IMPACTS,0000320193
2022_9,IMPACTS,0001318605
2020_29,IMPACTS,0000093410
2020_29,IMPACTS,0000034088
2020_29,IMPACTS,0001108524
2020_29,IMPACTS,0001403161
2020_29,IMPACTS,0001374310
2020_29,IMPACTS,0001527166
2020_29,IMPACTS,0001113169
2020_29,IMPACTS,0000886982
2017_0,IMPACTS,0001336920
2020_29,IMPACTS,0001627223
2020_29,IMPACTS,0000072741
2020_29,IMPACTS,0000064996
2020_29,IMPACTS,0001049521
2020_29,IMPACTS,0001296445
2020_29,IMPACTS,0001137774
2020_29,IMPACTS,0000078128
2009_0,IMPACTS,0000001750
2023_23,IMPACTS,0000006201
2009_0,IMPACTS,0001324424
2020_8,IMPACTS,0000104169
2007_2,IMPACTS,0000732717
2022_5,IMPACTS,0000012927
2022_5,IMPACTS,0000793952
2022_5,IMPACTS,0000320187
2022_5,IMPACTS,0001403161
2022_5,IMPACTS,0000034088
2017_0,IMPACTS,0001070412
2020_29,IMPACTS,0001463101
2020_0,IMPACTS,0000002488
2020_0,IMPACTS,0001108524
2019_0,IMPACTS,0000050863
2019_1,IMPACTS,0000050863
2018_0,IMPACTS,0001158449
2020_16,IMPACTS,0000005272
2020_16,IMPACTS,0000002488
2020_16,IMPACTS,0001527166
2020_16,IMPACTS,0001285785
2020_16,IMPACTS,0001037038
2020_16,IMPACTS,0001665918
2020_29,IMPACTS,0000821026
2020_29,IMPACTS,0000012927
2020_29,IMPACTS,0000875045
2020_29,IMPACTS,0001739940
2020_29,IMPACTS,0000317540
2020_29,IMPACTS,0001070985
2020_29,IMPACTS,0001754301
2020_29,IMPACTS,0000310158
2020_29,IMPACTS,0000895421
2020_29,IMPACTS,0001356576
2020_29,IMPACTS,0000030697
2020_29,IMPACTS,0000109380
2020_8,IMPACTS,0000831001
2020_8,IMPACTS,0000886982
2017_0,IMPACTS,0000320187
2017_0,IMPACTS,0001336917
2016_11,IMPACTS,0000923796
2022_39,IMPACTS,0001744489
2022_39,IMPACTS,0000789019
2022_39,IMPACTS,0001045810
2013_0,IMPACTS,0000012927
2006_5,IMPACTS,0001018724
2006_5,IMPACTS,0000937556
2006_5,IMPACTS,0001660134
2006_5,IMPACTS,0001403161
2009_0,IMPACTS,0001318605
2009_0,IMPACTS,0000034088
2009_0,IMPACTS,0000021344
2009_0,IMPACTS,0000831001
2009_0,IMPACTS,0000098677
2009_0,IMPACTS,0000827876
2009_0,IMPACTS,0001064728
2009_0,IMPACTS,0001571949
2009_0,IMPACTS,0000077476
2019_0,IMPACTS,0000012927
2020_29,IMPACTS,0001166691
2004_0,IMPACTS,0001065088
2009_0,IMPACTS,0000829224
2017_0,IMPACTS,0000831001
2017_0,IMPACTS,0000072971
2022_43,IMPACTS,0000109563
2022_43,IMPACTS,0000790051
2017_8,IMPACTS,0000789570
