Event,IMPACTS,Company
2009_0,IMPACTS,0001374310
2009_0,IMPACTS,0001156375
2021_37,IMPACTS,0001045810
2022_5,IMPACTS,0001045810
2020_5,IMPACTS,0001166691
2020_5,IMPACTS,0000732717
2009_4,IMPACTS,0001166691
2001_8,IMPACTS,0000909832
2001_8,IMPACTS,0001744489
2006_5,IMPACTS,0001065088
2015_3,IMPACTS,0001065088
2020_8,IMPACTS,0001065088
2013_8,IMPACTS,0000796343
2013_8,IMPACTS,0000936395
2013_8,IMPACTS,0000040545
2005_15,IMPACTS,0001067294
2005_15,IMPACTS,0000047217
2014_0,IMPACTS,0000018230
2006_4,IMPACTS,0000021344
2008_3,IMPACTS,0000021344
2014_0,IMPACTS,0000764478
2014_0,IMPACTS,0001065088
2003_2,IMPACTS,0000940944
2003_2,IMPACTS,0000040545
2003_2,IMPACTS,0001341439
2006_3,IMPACTS,0000940944
2006_3,IMPACTS,0000040545
2006_3,IMPACTS,0001341439
2014_3,IMPACTS,0000764478
2014_3,IMPACTS,0000850209
2014_3,IMPACTS,0000047217
2006_5,IMPACTS,0001018840
2006_5,IMPACTS,0000018230
2006_5,IMPACTS,0001326380
2014_0,IMPACTS,0000815556
2014_0,IMPACTS,0001115055
2014_0,IMPACTS,0001039065
2013_13,IMPACTS,0000919012
2013_13,IMPACTS,0000040545
2013_13,IMPACTS,0000812011
2013_13,IMPACTS,0001048911
2013_13,IMPACTS,0001585364
2013_13,IMPACTS,0000730263
2006_3,IMPACTS,0000885725
2014_0,IMPACTS,0000885245
2014_1,IMPACTS,0001166691
2014_0,IMPACTS,0000882184
2014_0,IMPACTS,0000827052
2014_0,IMPACTS,0001341439
2014_0,IMPACTS,0001064728
2014_0,IMPACTS,0000927653
2014_0,IMPACTS,0001001250
2014_0,IMPACTS,0001326380
2006_4,IMPACTS,0001156375
2003_2,IMPACTS,0000016732
2006_3,IMPACTS,0000016732
2013_13,IMPACTS,0000796343
2013_13,IMPACTS,0000936395
2013_13,IMPACTS,0000909832
2005_15,IMPACTS,0001675149
2005_15,IMPACTS,0000940944
2005_15,IMPACTS,0001341439
2014_0,IMPACTS,0000935703
2013_8,IMPACTS,0000764065
2013_8,IMPACTS,0001065088
2004_0,IMPACTS,0000018230
2008_3,IMPACTS,0001086222
2008_3,IMPACTS,0001163165
2008_3,IMPACTS,0000927653
2003_2,IMPACTS,0001048911
2006_3,IMPACTS,0001048911
2014_0,IMPACTS,0000723531
2001_6,IMPACTS,
2001_6,IMPACTS,0001403568
2003_2,IMPACTS,
2003_2,IMPACTS,0001403568
2006_4,IMPACTS,
2006_4,IMPACTS,0001403568
2008_3,IMPACTS,
2008_3,IMPACTS,0001403568
2014_0,IMPACTS,0000936395
2014_0,IMPACTS,0000031462
2014_0,IMPACTS,0000874766
2014_0,IMPACTS,0001675149
2014_0,IMPACTS,0000105132
2006_4,IMPACTS,0001020859
2013_13,IMPACTS,0001020859
2003_2,IMPACTS,0000796343
2006_3,IMPACTS,0000723125
2014_1,IMPACTS,0000919012
2014_1,IMPACTS,0001020859
2014_1,IMPACTS,0000912615
2014_0,IMPACTS,0000033185
2014_0,IMPACTS,0000021344
2013_12,IMPACTS,0000882184
2013_12,IMPACTS,
2003_2,IMPACTS,0000315189
2003_2,IMPACTS,0000804328
2006_3,IMPACTS,0000315189
2006_3,IMPACTS,0000804328
2013_13,IMPACTS,0000315189
2013_13,IMPACTS,0000040704
2013_13,IMPACTS,0001341439
2014_0,IMPACTS,0001585364
2006_3,IMPACTS,0000793952
2006_3,IMPACTS,0000723531
2014_0,IMPACTS,0000793952
2014_0,IMPACTS,0000796343
2014_0,IMPACTS,0001048911
2014_0,IMPACTS,0001108524
2018_4,IMPACTS,0001163165
2018_4,IMPACTS,0000821189
2022_39,IMPACTS,0001018724
2022_39,IMPACTS,0000789019
2009_4,IMPACTS,0001744489
2016_7,IMPACTS,0000320187
2016_7,IMPACTS,0001374310
2020_4,IMPACTS,0001374310
2013_10,IMPACTS,0001113169
2022_5,IMPACTS,0000916365
2005_12,IMPACTS,0000065984
2022_5,IMPACTS,0000001750
2002_3,IMPACTS,0001318605
2006_4,IMPACTS,0001318605
2022_9,IMPACTS,0001318605
2022_39,IMPACTS,0000002488
2022_39,IMPACTS,0001045810
2022_11,IMPACTS,0000310158
2022_39,IMPACTS,0000804328
2016_7,IMPACTS,0000046195
2016_7,IMPACTS,0000039263
2022_39,IMPACTS,0000723125
2009_0,IMPACTS,0000104169
2009_0,IMPACTS,0000886982
2009_0,IMPACTS,0001633917
2022_9,IMPACTS,0000091576
2022_39,IMPACTS,0001403161
2022_39,IMPACTS,0000050863
2022_5,IMPACTS,0000320193
2022_5,IMPACTS,0000789019
2013_10,IMPACTS,0000946581
2009_0,IMPACTS,0001403161
2009_0,IMPACTS,0001318605
2022_39,IMPACTS,0001341439
2009_0,IMPACTS,0000789019
2020_8,IMPACTS,0000821189
2022_37,IMPACTS,0001133421
2022_39,IMPACTS,0001474432
2005_1,IMPACTS,0001093557
2005_1,IMPACTS,0001318605
2015_6,IMPACTS,0001352010
2015_6,IMPACTS,0001413329
2022_5,IMPACTS,0001352010
2022_5,IMPACTS,0001413329
2022_39,IMPACTS,0001318605
2022_39,IMPACTS,0001108524
2022_39,IMPACTS,0001596532
2017_0,IMPACTS,0001551152
2022_5,IMPACTS,0001744489
2022_5,IMPACTS,0000829224
2004_5,IMPACTS,0001633917
2009_0,IMPACTS,0000732717
2009_0,IMPACTS,0000072971
2002_3,IMPACTS,0001065088
2004_0,IMPACTS,0001121788
2016_11,IMPACTS,0000045012
2022_5,IMPACTS,0001065088
2022_5,IMPACTS,0001111335
2016_7,IMPACTS,0001156375
2016_7,IMPACTS,0001393311
2016_11,IMPACTS,0000923796
2002_12,IMPACTS,0000021076
2002_12,IMPACTS,0000882095
2008_3,IMPACTS,0000018230
